t,raw_dt,draw_dt,sim_before,sim_after,advance,acc_after
1790366161.572,0.0390,0.0390,16.0667,16.1167,0.0500,0.0053
1790366161.610,0.0440,0.0440,16.1167,16.1500,0.0333,0.0160
1790366161.668,0.0400,0.0400,16.1500,16.2000,0.0500,0.0060
1790366161.729,0.0590,0.0500,16.2000,16.2500,0.0500,0.0150
1790366161.791,0.0660,0.0500,16.2500,16.3167,0.0667,0.0143
1790366161.845,0.0540,0.0500,16.3167,16.3833,0.0667,0.0017
1790366161.891,0.0540,0.0500,16.3833,16.4333,0.0500,0.0057
1790366161.937,0.0470,0.0470,16.4333,16.4833,0.0500,0.0027
1790366161.981,0.0450,0.0450,16.4833,16.5167,0.0333,0.0143
1790366162.033,0.0500,0.0500,16.5167,16.5667,0.0500,0.0143
1790366162.078,0.0460,0.0460,16.5667,16.6167,0.0500,0.0103
1790366162.136,0.0470,0.0470,16.6167,16.6667,0.0500,0.0073
1790366162.194,0.0570,0.0500,16.6667,16.7167,0.0500,0.0143
1790366162.254,0.0600,0.0500,16.7167,16.7833,0.0667,0.0077
1790366162.320,0.0590,0.0500,16.7833,16.8500,0.0667,0.0000
1790366162.369,0.0650,0.0500,16.8500,16.9000,0.0500,0.0150
1790366162.418,0.0490,0.0490,16.9000,16.9500,0.0500,0.0140
1790366162.466,0.0490,0.0490,16.9500,17.0000,0.0500,0.0130
1790366162.514,0.0490,0.0490,17.0000,17.0500,0.0500,0.0120
1790366162.562,0.0480,0.0480,17.0500,17.1000,0.0500,0.0100
1790366162.611,0.0470,0.0470,17.1000,17.1500,0.0500,0.0070
1790366162.661,0.0490,0.0490,17.1500,17.2000,0.0500,0.0060
1790366162.709,0.0490,0.0490,17.2000,17.2500,0.0500,0.0050
1790366162.762,0.0480,0.0480,17.2500,17.3000,0.0500,0.0030
1790366162.809,0.0540,0.0500,17.3000,17.3500,0.0500,0.0070
1790366162.855,0.0470,0.0470,17.3500,17.4000,0.0500,0.0040
1790366162.903,0.0460,0.0460,17.4000,17.4500,0.0500,0.0000
1790366162.946,0.0470,0.0470,17.4500,17.4833,0.0333,0.0137
1790366162.996,0.0460,0.0460,17.4833,17.5333,0.0500,0.0097
1790366163.044,0.0480,0.0480,17.5333,17.5833,0.0500,0.0077
1790366163.092,0.0480,0.0480,17.5833,17.6333,0.0500,0.0057
1790366163.140,0.0480,0.0480,17.6333,17.6833,0.0500,0.0037
1790366163.187,0.0490,0.0490,17.6833,17.7333,0.0500,0.0027
1790366163.235,0.0480,0.0480,17.7333,17.7833,0.0500,0.0007
1790366163.275,0.0480,0.0480,17.7833,17.8167,0.0333,0.0153
1790366163.324,0.0390,0.0390,17.8167,17.8667,0.0500,0.0043
